Domain Code;Domain;Area Code (M49);Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
QCL;Crops and livestock products;724;Spain;5510;Production;1344.02;Cherries;2021;2021;t;126490;A;Official figure;
QCL;Crops and livestock products;740;Suriname;5510;Production;1344.02;Cherries;2021;2021;t;1807;A;Official figure;
QCL;Crops and livestock products;NA;Sweden;5511;Production;1345.02;Cherries;2021;2021;t;180;A;Official figure;
QCL;Crops and livestock products;756;Switzerland;5510;Production;1344.02;Cherries;2021;2021;t;4415;A;Official figure;
QCL;Crops and livestock products;760;Syria;5510;Production;1344.02;Cherries;2021;2021;t;44343;A;Official figure;
QCL;Crops and livestock products;788;Tunisia;5510;Production;1344.02;Cherries;2021;2021;t;4459;E;Estimated value;
QCL;Crops and livestock products;792;Turkey;5510;Production;1344.02;Cherries;2021;2021;t;873591;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1344.02;Cherries;2021;2021;t;255570;A;Official figure;
QCL;Crops and livestock products;826;UK;5510;Production;1344.02;Cherries;2021;2021;t;3795;A;Official figure;
QCL;Crops and livestock products;840;USA;5510;Production;1344.02;Cherries;2021;2021;t;421250;A;Official figure;
QCL;Crops and livestock products;860;Uzbekistan;5510;Production;1344.02;Cherries;2021;2021;t;286885;A;Official figure;
